Date	Rating	Rounds
28-Jul-2002	1010	31
31-Mar-2002	1014	38
16-Dec-2001	1016	38
26-Aug-2001	1011	38
1-Jul-2001	1014	42
29-Apr-2001	1008	42
16-Dec-2000	1003	50
27-Aug-2000	1002	52
25-Jun-2000	1000	58
30-Apr-2000	1000	55
31-Oct-1999	1005	61
29-Aug-1999	1007	57
27-Jun-1999	1011	57
25-Apr-1999	1011	58
15-Nov-1998	1012	38
8-Aug-1998	1010	30
6-Dec-2016	986	31
15-Nov-2016	989	29
20-Sep-2016	994	48
16-Aug-2016	998	52
19-Jul-2016	1002	61
21-Jun-2016	1006	56
17-May-2016	1005	60
19-Apr-2016	1002	60
20-Oct-2015	996	94
30-Sep-2015	995	89
1-Sep-2015	998	80
28-Jul-2015	991	63
23-Jun-2015	985	56
26-May-2015	983	52
28-Apr-2015	979	43
24-Mar-2015	981	39
27-Jan-2015	977	26
16-Dec-2014	1001	11
18-Nov-2014	986	3
31-Aug-2010	993	3
15-Jul-2004	992	3
15-Feb-2004	1011	17
15-Mar-2003	1011	17
31-Dec-2002	1013	17
16-Dec-2001	1011	17
26-Aug-2001	1008	19
1-Jul-2001	1011	18
27-Aug-2000	1020	25
25-Jun-2000	1017	32
30-Apr-2000	1019	32
31-Oct-1999	1019	35
29-Aug-1999	1023	34
27-Jun-1999	1020	38
25-Apr-1999	1019	31
15-Nov-1998	1017	25
8-Aug-1998	1012	20
13-Mar-2018	1012	63
27-Feb-2018	1013	63
31-Jan-2018	1011	57
12-Dec-2017	1012	58
25-Oct-2017	1015	70
22-Aug-2017	1017	70
25-Jul-2017	1014	65
27-Jun-2017	1014	60
23-May-2017	1019	57
26-Apr-2017	1018	52
28-Mar-2017	1020	51
28-Feb-2017	1024	47
24-Jan-2017	1024	48
6-Dec-2016	1022	45
15-Nov-2016	1023	40
20-Sep-2016	1020	48
19-Jul-2016	1022	64
21-Jun-2016	1021	64
19-Apr-2016	1022	73
22-Mar-2016	1023	70
23-Feb-2016	1023	76
8-Dec-2015	1024	77
17-Nov-2015	1024	79
20-Oct-2015	1024	82
30-Sep-2015	1022	79
1-Sep-2015	1026	74
28-Jul-2015	1028	78
23-Jun-2015	1027	74
26-May-2015	1027	69
28-Apr-2015	1027	71
24-Mar-2015	1026	72
27-Jan-2015	1026	71
18-Nov-2014	1029	78
28-Oct-2014	1034	73
30-Sep-2014	1034	79
9-Sep-2014	1034	76
26-Aug-2014	1032	77
15-Jul-2014	1031	77
24-Jun-2014	1031	72
27-May-2014	1031	75
15-Apr-2014	1033	72
18-Mar-2014	1036	73
18-Feb-2014	1036	73
21-Jan-2014	1035	68
19-Nov-2013	1036	74
22-Oct-2013	1033	75
1-Oct-2013	1032	74
13-Aug-2013	1030	76
2-Jul-2013	1033	73
21-May-2013	1032	79
26-Mar-2013	1031	84
29-Jan-2013	1030	79
18-Dec-2012	1031	74
13-Nov-2012	1029	72
23-Oct-2012	1028	71
18-Sep-2012	1031	64
14-Aug-2012	1029	67
3-Jul-2012	1031	70
15-May-2012	1030	57
23-Mar-2012	1031	57
20-Dec-2011	1030	56
22-Nov-2011	1030	56
25-Oct-2011	1029	61
13-Sep-2011	1031	58
30-Aug-2011	1030	56
12-Jul-2011	1031	57
21-Jun-2011	1031	60
17-May-2011	1031	54
29-Mar-2011	1030	54
14-Dec-2010	1030	51
26-Oct-2010	1031	52
31-Aug-2010	1028	54
20-Jul-2010	1031	47
22-Jun-2010	1029	48
4-May-2010	1030	54
23-Mar-2010	1032	59
15-Dec-2009	1031	57
20-Oct-2009	1029	56
1-Sep-2009	1032	67
21-Jul-2009	1031	64
19-May-2009	1028	66
17-Mar-2009	1029	69
25-Nov-2008	1030	68
9-Sep-2008	1032	62
24-Jun-2008	1032	53
29-Apr-2008	1030	55
29-Jan-2008	1033	61
13-Nov-2007	1035	61
28-Aug-2007	1031	74
26-Jun-2007	1030	83
10-Apr-2007	1030	78
19-Dec-2006	1032	72
19-Sep-2006	1032	63
27-Jun-2006	1033	57
18-Apr-2006	1032	63
24-Jan-2006	1033	65
15-Dec-2005	1033	62
15-Sep-2005	1030	71
15-Jul-2005	1032	56
15-May-2005	1029	49
15-Dec-2004	1025	49
15-Sep-2004	1025	53
15-Jul-2004	1026	58
